Внешний код;Название;Артикул;Доступное количество;Цена;Производитель;;;
1102;Нож универсальный Sterling;24068;0;1150;Leifheit;;;
1103;Нож универсальный;24069;0;590;Leifheit;;;
1104;Пресс для чеснока;24070;0;1050;Leifheit;;;
1105;Ложка для мороженого;24071;0;790;Leifheit;;;
1106;Овощечистка;24072;0;425;Leifheit;;;
1107;Овощечистка;24073;0;638;Leifheit;;;
1109;Венчик 32см;24077;0;690;Leifheit;;;
1110;Кронштейн кухонный 55см;24078;0;1400;Leifheit;;;
3206;Ваза Beauty 18, белый;25380;0;1570;Leonardo;;;
3207;Ваза Beauty 18, зеленый;25384;0;1655;Leonardo;;;
1112;Кухонный рулонодержатель Parat Royal;25660;0;4590;Leifheit;;;
1114;Кухонный рулонодержатель Parat F2;25771;3;3709;Leifheit;;;
59;Термокружка Limited Edition красный, 0.5 л;25785;0;1210;Leifheit;;;
60;Термокружка Limited Edition голубой, 0.5 л;25786;0;1210;Leifheit;;;
1115;Кухонный рулонодержатель Rolly Mobil;25795;11;2800;Leifheit;;;
62;Термос Columbus, 1 л;28336;5;2399;Leifheit;;;
1116;Термос Bolero 1.0л;28343;2;1790;Leifheit;;;
1117;Термос Bolero 1.0л;28344;0;1790;Leifheit;;;
1120;Термос-чайник Style 1.5л;28510;0;6875;Leifheit;;;
63;Термос Coco, 0.5 л;28519;3;1640;Leifheit;;;
64;Термос Coco, 0.75 л;28520;0;1470;Leifheit;;;
1567;Термос Coco, 1 л;28521;5;2239;Leifheit;;;
1568;Термос Coco синий, 1 л;28528;0;1900;Leifheit;;;
3;Термос Coco розовый, 1 л;28529;0;2000;Leifheit;;;
4;Термос Coco жёлтый, 1 л;28530;0;1900;Leifheit;;;
330566;Чаша Alabastro 13 см;31135;0;1096;Leonardo;;;
1121;Контейнер для хранения круглый 0.4л;31198;5;1000;Leifheit;;;
1122;Контейнер для хранения круглый 0.75л;31199;3;1200;Leifheit;;;
1123;Контейнер для хранения круглый 0.9л;31200;1;1400;Leifheit;;;
1124;Контейнер для хранения круглый 1.1л;31201;4;1200;Leifheit;;;
1125;Контейнер для хранения круглый 1.4л;31202;8;1400;Leifheit;;;
1126;Контейнер для хранения круглый 1.7л;31203;27;1500;Leifheit;;;
1127;Контейнер для хранения круглый 2.0л;31204;28;1900;Leifheit;;;
1129;Контейнер для хранения квадратный 0.4л;31207;0;1200;Leifheit;;;
1130;Контейнер для хранения квадратный 0.8л;31208;68;1400;Leifheit;;;
1131;Контейнер для хранения квадратный 1.0л;31209;32;1500;Leifheit;;;
1132;Контейнер для хранения квадратный 1.2л;31210;69;1600;Leifheit;;;
1133;Контейнер для хранения квадратный 1.6л;31211;27;1800;Leifheit;;;
1379;Ваза Tramonto, 22 см;32273;0;13204;Leonardo;;;
1380;Подсвечник Pigna;34221;0;3252;Leonardo;;;
1381;Подсвечник Galassia;36146;0;2860;Leonardo;;;
1382;Подсвечник Galassia зелёный;36147;0;2860;Leonardo;;;
330599;Подсвечник Quad прозрачный;36300;0;376;Leonardo;;;
330589;Подсвечник Quad красный;36323;0;500;Leonardo;;;
330600;Подсвечник Quad оранжевый;36324;0;500;Leonardo;;;
330588;Подсвечник Quad зелёный;36325;0;500;Leonardo;;;
1138;Воронка для варенья;36500;106;609;Leifheit;;;
1139;Отделитель косточек вишни Cherrymat;37200;0;2200;Leifheit;;;
1887;Отделитель косточек вишен Cherrymat 3.0;37211;79;3042;Leifheit;;;
6;Отделитель косточек от слив Creative;37300;18;2500;Leifheit;;;
3393;Стакан Fiorita для виски, 0.34 л;37794;0;630;Leonardo;;;
3394;Стакан Fiorita для воды, 0.37 л;37795;17;800;Leonardo;;;
3205;Бокал Fiorita для шампанского, 0.33 л;37797;39;950;Leonardo;;;
3204;Бокал Fiorita для вина, 0.2 л;37798;0;1105;Leonardo;;;
3304;Кувшин Fiorita, 1.2л;37799;0;3155;Leonardo;;;
1140;Салфетка для уборки XL;40000;0;325;Leifheit;;;
1141;Салфетка для санузла;40001;0;216;Leifheit;;;
1142;Салфетка для окон Cloth Duo;40002;0;390;Leifheit;;;
1143;Салфетка для окон Cloth;40003;0;324;Leifheit;;;
7;Ткань для зеркал и стекла EcoPerfect с натуральным бамбуковым волокном, 40 x 40 см;40004;0;430;Leifheit;;;
1144;Тряпка для мытья пола Micro;40005;0;335;Leifheit;;;
1146;Тряпка для мытья пола Vlies;40008;0;270;Leifheit;;;
1147;Салфетка универсальная Universal Pro;40009;0;320;Leifheit;;;
1148;Салфетка для уборки;40010;0;250;Leifheit;;;
1149;Салфетка для гладких певерхностей Duo Sensitive;40013;0;245;Leifheit;;;
1150;Губка для посуды Trio Pad;40014;4;299;Leifheit;;;
1151;Губка Medium для посуды;40015;0;170;Leifheit;;;
1152;Губка Sensitive для посуды;40016;0;175;Leifheit;;;
1154;Губка металлическая XXL;40018;0;225;Leifheit;;;
1155;Губка универсальная;40019;0;360;Leifheit;;;
1156;Ткань универсальная Micro Magic;40020;0;340;Leifheit;;;
1157;Рукавица для пыли;40021;0;335;Leifheit;;;
